ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
102;Children;0.833333333;0.375;0.8383493;0.59;0.54;0.583;;0.63;0.73;0.833333333;1;0.833
103;Children;0.666666667;0.75;0.732438;0.86;0.77;0.5;;0.75;0.82;0.833333333;1;0.5
104;Children;0.833333333;0.75;0.7497285;0.73;0.78;0.818;0.69;0.79;0.64;0.833333333;0.916666667;0.5
105;Children;0.666666667;0.875;0.9306625;0.77;0.86;0.458;;0.53;;0.75;0.916666667;1.000
106;Children;0.833333333;0.375;0.7579612;0.63;0.71;0.625;;0.75;0.09;0.5;0.666666667;0.667
107;Children;0.666666667;0.625;0.6600543;0.5;;0.565;;0.56;0.27;0.5;0.333333333;0.667
108;Children;0.5;0.375;0.9306625;0.5;;0.583;;0.75;1;0.916666667;0.916666667;0.667
109;Children;0.5;0.625;0.5828492;0.38;;0.5;;0.56;0.36;0.5;0.5;0.333
110;Children;0.833333333;0.75;0.8748642;0.63;;0.727;;0.89;0.73;0.5;0.583333333;0.167
111;Children;0.666666667;0.625;0.7632678;0.78;0.83;0.5;;0.57;0.27;0.75;0.916666667;0.5
112;Children;0.833333333;0.375;0.6164179;0.54;;0.375;;0.75;0.36;0.5;0.25;0.833
113;Children;0.833333333;0.625;0.8327556;0.73;0.71;0.375;;0.75;0.64;0.833333333;0.909090909;0.667
114;Children;0.666666667;0.625;0.6967061;0.77;0.81;0.542;;0.77;0.18;0.833333333;0.916666667;0.667
115;Children;0.833333333;0.75;0.7126048;0.77;0.76;0.5;;0.59;0.18;0.666666667;0.916666667;1.000
116;Children;0.833333333;0.625;0.7538448;0.8;0.46;0.5;0.94;0.64;0.64;0.833333333;0.833333333;0.667
117;Children;0.833333333;0.75;;0.86;0.75;0.875;0.67;1;0.91;;1;0.833
118;Children;0.666666667;0.75;0.90755;0.38;;0.583;;1;1;0.833333333;0.916666667;0.5
119;Children;0.666666667;0.375;0.732438;0.86;0.61;0.643;0.94;0.8;1;0.833333333;1;0.5
120;Children;0.5;0.75;0.8694074;0.78;0.86;0.375;;;0.82;0.916666667;1;0.667
