ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid;BRIEF_P_Inhibit;BRIEF_P_Shift;BRIEF_P_WM
135;m;55;4;old;0.666666667;0.75;;;;;;0.78;0.27;;;0.833;;;
136;m;54;4;old;0.666666667;0.375;;;;;;0.88;0.45;;0.833333333;0.5;;;
137;f;44;3;young;0.666666667;;;;;;;;0.45;;;0.833;;;
138;m;46;3;young;0.666666667;0.25;;;;;;0.64;0.45;;;0.833;;;
139;f;42;3;young;0.5;;;;;;;;0.64;;;;;;
140;f;53;4;old;0.833333333;;;;;;;0.58;0.55;;;0.5;;;
141;f;58;4;old;0.5;;;;;;;;0.91;;;;;;
143;f;44;3;young;0.5;;;;;;;;0.5;;;0.667;;;
144;m;46;3;young;0.833333333;0.625;0.778663;0.8;0.78;0.542;;0.86;0.36;0.833333333;0.5;0;;;
145;f;56;4;old;1;0.375;0.8382124;1;0.86;1.000;0.89;0.77;0.91;0.916666667;1;0.167;41;41;40
146;m;53;4;old;0.666666667;0.75;0.6422484;0.78;0.86;0.375;;0.88;0.55;0.75;0.916666667;0.333;36;47;38
147;f;44;3;young;0.666666667;0.375;0.7959535;0.86;0.63;0.583;;0.78;0.73;0.916666667;0.166666667;0.833;47;43;53
148;f;45;3;young;0.666666667;0.875;0.8598342;0.88;0.6;0.7;0.97;1;0.91;0.916666667;0.25;0.5;;;
149;f;58;4;old;0.833333333;0.5;0.7673841;0.78;0.73;0.417;;0.78;0.45;0.833333333;0.25;0.5;;;
150;m;58;4;old;0.833333333;0.375;0.8286392;0.73;0.86;0.375;;0.76;0.36;0.916666667;1;1.000;78;64;74
151;f;58;4;old;1;0.5;0.90755;0.54;;0.542;;0.47;0.91;0.916666667;1;0.833;41;46;38
152;f;48;4;young;0.833333333;1;0.7211591;0.89;0.7;0.583;;0.65;0.55;0.916666667;0.333333333;0.5;46;51;48
153;f;49;4;young;0.833333333;0.375;0.8517517;0.63;;1.000;;1;1;0.833333333;1;0;55;43;48
154;m;53;4;old;0.833333333;0.625;;0.78;0.86;0.857;;0.87;0.45;0.5;0.916666667;0.667;;;
155;m;48;4;young;0.833333333;0.375;0.8557178;0.77;0.86;0.692;0.81;0.78;;0.833333333;0.416666667;0.5;53;49;48
156;m;57;4;old;0.666666667;0.625;0.865291;0.91;0.86;0.458;;0.75;0.55;0.583333333;0.833333333;1.000;;;
157;m;54;4;old;0.666666667;0.625;0.7756168;1;0.86;0.583;;1;1;0.833333333;0.416666667;0.5;;;
158;m;58;4;old;1;0.5;0.8979768;0.82;0.85;0.375;;1;0.73;0.916666667;0.833333333;1.000;45;42;46
159;m;46;3;young;0.666666667;0.75;0.865291;0.86;0.86;0.417;;0.9;0.91;0.5;0.916666667;0.333;66;40;52
160;f;57;4;old;0.666666667;0.625;0.7768071;1;0.86;0.333;;0.86;1;1;0.916666667;1.000;37;51;42
161;f;46;3;young;0.666666667;0.25;0.8058919;0.88;0.54;0.375;;0.71;0.09;0.916666667;0.916666667;0.5;51;49;62
162;m;46;3;young;0.666666667;0.5;0.7959535;0.89;0.59;0.375;;0.71;0.36;0.75;0.25;0.667;37;38;38
163;f;45;3;young;0.666666667;0.625;;1;0.78;;;0.73;0.91;;0.916666667;1.000;43;37;40
164;m;55;4;old;0.666666667;0.625;0.6997523;0.86;0.86;0.542;;0.65;0.91;0.916666667;0.833333333;0.667;38;40;42
165;f;55;4;old;0.666666667;0.75;0.7824142;1;0.86;1.000;0.89;0.86;0.91;0.833333333;0.916666667;0.167;;;
166;m;52;4;old;0.666666667;0.625;0.613679;1;0.73;0.417;;0.73;0.64;0.666666667;0.083333333;0.167;;;
167;f;58;4;old;0.333333333;;;;;;;;0.18;;;0.833;;;
168;f;54;4;old;0.666666667;;;;;;;;;;;;58;62;67
169;m;52;4;old;0.833333333;;;;;;;;0.64;;;0.333;;;
170;f;43;3;young;1;;;;;;;;0.82;;;0.167;;;
171;m;40;3;young;0.666666667;;;;;;;;0.64;;;;46;40;44
172;m;44;3;young;0.666666667;;;;;;;;;;;;37;65;48
173;m;40;3;young;0.666666667;;;;;;;;;;;;;;
174;f;56;4;old;0.833333333;;;;;;;;;;;;;;
175;f;41;3;young;0.5;;;;;;;;;;;;;;
176;f;59;4;old;1;;;;;;;;0.82;;;;;;
177;f;52;4;old;0.666666667;;;;;;;;;;;;;;
181;f;56;4;old;1;;;;;;;;;;;;;;
182;f;56;4;old;0.666666667;;;;;;;;;;;;;;
184;m;58;4;old;0.833333333;;;;;;;;;;;;50;42;40
189;m;41;3;young;0.666666667;;;;;;;;;;;;55;48;66
190;f;43;3;young;0.833333333;;;;;;;;0.09;;;;;;
191;m;43;3;young;0.666666667;;;;;;;;0.27;;;;;;
192;m;45;3;young;0.666666667;;;;;;;;0.27;;;0.333;;;
193;m;54;4;old;0.666666667;;;;;;;;0.45;;;;;;
194;m;51;4;old;0.5;;;;;;;;0.91;;;0;;;
195;m;58;4;old;1;;;;;;;;;;;;;;
196;f;36;3;young;0.666666667;;;;;;;;;;;;;;
197;f;46;3;young;0.5;;;;;;;;0.18;;;0.667;;;
198;f;41;3;young;0.666666667;;;;;;;;0.18;;;0.667;;;
199;f;57;4;old;0.666666667;;;;;;;;0.73;;;0.333;;;
