ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;5;no;0;3;0.6;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;6;no;0;3;0.5;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;7;yes;1;4;0.571428571;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;8;no;0;4;0.5;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;1;no;0;0;0;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;3;no;0;1;0.333333333;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;4;yes;1;2;0.5;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;5;no;0;2;0.4;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;6;yes;1;3;0.5;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;7;yes;1;4;0.571428571;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
21;f;41;3;43;3;no information;young;no;;no;yes, within 2 trials;8;no;0;4;0.5;8;4;4;8;0.5;ID21_AdditionalTask_Foil_f_3y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;1;yes;1;1;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
