ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
4;m;62;5;63;5;old;no information;Fife;1;no;9;7;4;white;no;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;8;5;red;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;9;8;orange;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;2;no;11;1;5;blue;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;2;5;yellow;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;3;8;purple;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;4;3;green;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;5;8;lightblue;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;6;1;red;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;7;2;white;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;8;3;blue;no;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;9;4;blue;no;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;10;4;lightblue;no;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
4;m;62;5;63;5;old;no information;Fife;2;no;11;11;2;orange;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;1;no;10;1;4;yellow;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;2;4;white;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;3;6;blue;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;4;4;purple;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;5;6;lightblue;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;6;3;orange;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;7;4;white;no;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;8;5;red;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;9;3;yellow;no;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;1;no;10;10;4;green;yes;yes;8;0.8;6;6;ID5_WM_ScrambledBox_f_3y;7;9;0.777777778
5;f;45;3;46;3;young;no information;Fife;2;no;11;1;2;orange;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;2;5;yellow;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;3;3;lightblue;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;4;2;purple;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;5;5;red;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;6;5;orange;no;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;7;2;white;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;8;2;lightblue;no;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;9;1;green;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
