ID;Proportion_CorrectTrials;Phase
190;0.64;Training2a
190;0.75;Training2b
191;0.5;Test
191;0.67;Training1
191;0.65;Training2a
191;0.69;Training2b
192;0.36;Test
192;0.73;Training1
192;0.71;Training2a
192;0.78;Training2b
193;0.64;Test
193;0.6;Training1
193;0.86;Training2a
193;0.78;Training2b
194;0.92;Test
194;0.67;Training1
194;0.7;Training2a
194;0.77;Training2b
197;0.47;Test
197;0.62;Training1
197;0.75;Training2a
197;0.8;Training2b
198;0.33;Test
198;0.65;Training1
198;0.62;Training2a
198;0.78;Training2b
199;0.89;Test
199;0.69;Training1
199;0.7;Training2a
199;0.88;Training2b
