ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;11;3;8, 14, 11;yes;;8;4;2;3;3;1.4142;14;11;1.358;1;3;1.391;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;12;2;6, 7;yes;;6;2;2;3;2;1.0000;7;;1.358;1;4;1.358;ID4_WM_Grid_m_5y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;1.355;1;;;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Warm-up;2;1;14;;choice corrected.;14;2;4;2;4;0.0000;;;1.355;1;;;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;1;2;3, 5;yes;;3;3;1;1;2;2.2361;5;;1.355;1;1;2.236;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;2;1;14;yes;choice corrected;14;2;4;2;4;0.0000;;;1.355;1;2;1.118;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;3;3;1, 15, 3;yes;;1;1;1;3;1;2.0000;15;3;1.355;1;3;1.412;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;4;4;1, 15, 4;yes;;1;1;1;1;3;2.0000;15;4;1.355;0;3;1.559;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;5;2;3, 2;yes;;3;3;1;2;1;1.0000;2;;1.355;1;4;1.447;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;6;4;1, 2, 3;yes;;1;1;1;4;3;3.6056;2;3;1.355;0;4;1.807;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;7;1;10;no;;10;2;3;2;3;0.0000;;;1.355;1;5;1.549;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;8;4;10, 9, 4;yes;;10;2;3;3;4;1.4142;9;4;1.355;0;5;1.532;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;9;1;8;no;;8;4;2;4;2;0.0000;;;1.355;1;6;1.362;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;10;2;8, 6;yes;;8;4;2;2;2;2.0000;6;;1.355;1;7;1.426;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;11;4;7, 6, 5;yes;;7;3;2;3;3;1.0000;6;5;1.355;0;7;1.387;ID5_WM_Grid_f_3y;
5;f;45;3;no information;46;3;Fife;;young;no;no;Test;12;4;6, 11, 7;no;;6;2;2;3;2;1.0000;11;7;1.355;0;7;1.355;ID5_WM_Grid_f_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;0.95;1;;;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;0.95;1;;;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;1;1;5;yes;;5;1;2;1;2;0.0000;;;0.95;1;1;.0;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;2;1;14;yes;;14;2;4;2;4;0.0000;;;0.95;1;2;.0;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;3;1;3;no;;3;3;1;3;1;0.0000;;;0.95;1;3;.0;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;4;4;10, 3, 4;yes;;10;2;3;1;3;1.0000;3;4;0.95;0;3;.250;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;5;1;2;no;;2;2;1;2;1;0.0000;;;0.95;1;4;.20;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;6;4;3, 4, 7;yes;;3;3;1;4;3;2.2361;4;7;0.95;0;4;.539;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;7;2;14, 10;yes;;14;2;4;2;3;1.0000;10;;0.95;1;5;.605;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;8;2;4, 15;yes;;4;4;1;3;4;3.1623;15;;0.95;1;6;.925;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;9;1;8;yes;;8;4;2;4;2;0.0000;;;0.95;1;7;.822;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;10;4;8, 4, 3;no;;8;4;2;2;2;2.0000;4;3;0.95;0;7;.940;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;11;4;7, 14, 10;yes;;7;3;2;3;3;1.0000;14;10;0.95;0;7;.945;ID7_WM_Grid_m_3y;
7;m;46;3;no information;46;3;Fife;80;young;no;no;Test;12;4;6,3,4;no;1. choice was 6, not 10, corrected.;6;2;2;3;2;1.0000;3;4;0.95;0;7;.950;ID7_WM_Grid_m_3y;
8;m;58;4;no;58;4;Fife;108;old;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;1.254;1;;;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;1.254;1;;;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;1;1;5;yes;;5;1;2;1;2;0.0000;;;1.254;1;1;.0;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;2;1;14;yes;;14;2;4;2;4;0.0000;;;1.254;1;2;.0;no video, experimenter error, accidentally overwrote video;
