ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;WMUpdating;WMBoxes;WMGrid;CD_all;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
166;m;52;4;old;Edinburgh;0.666666667;0.625;0.613679;0.417;0.73;0.64;0.666666667;0.083333333;0.167
167;f;58;4;old;Edinburgh;0.333333333;;;;;0.18;;;0.833
168;f;54;4;old;Edinburgh;0.666666667;;;;;;;;
169;m;52;4;old;Edinburgh;0.833333333;;;;;0.64;;;0.333
170;f;43;3;young;Fife;1;;;;;0.82;;;0.167
171;m;40;3;young;Fife;0.666666667;;;;;0.64;;;
172;m;44;3;young;Fife;0.666666667;;;;;;;;
173;m;40;3;young;Fife;0.666666667;;;;;;;;
174;f;56;4;old;Fife;0.833333333;;;;;;;;
175;f;41;3;young;Fife;0.5;;;;;;;;
176;f;59;4;old;Fife;1;;;;;0.82;;;
177;f;52;4;old;Fife;0.666666667;;;;;;;;
181;f;56;4;old;Fife;1;;;;;;;;
182;f;56;4;old;Fife;0.666666667;;;;;;;;
184;m;58;4;old;Fife;0.833333333;;;;;;;;
189;m;41;3;young;Edinburgh;0.666666667;;;;;;;;
190;f;43;3;young;Edinburgh;0.833333333;;;;;0.09;;;
191;m;43;3;young;Edinburgh;0.666666667;;;;;0.27;;;
192;m;45;3;young;Edinburgh;0.666666667;;;;;0.27;;;0.333
193;m;54;4;old;Edinburgh;0.666666667;;;;;0.45;;;
194;m;51;4;old;Edinburgh;0.5;;;;;0.91;;;0
195;m;58;4;old;Edinburgh;1;;;;;;;;
196;f;36;3;young;Edinburgh;0.666666667;;;;;;;;
197;f;46;3;young;Edinburgh;0.5;;;;;0.18;;;0.667
198;f;41;3;young;Edinburgh;0.666666667;;;;;0.18;;;0.667
199;f;57;4;old;Edinburgh;0.666666667;;;;;0.73;;;0.333
